suspectible,exposed,infected,carrier,dead,recovered
411489,61,219,34,4810,583387
411475,63,222,30,4810,583400
411469,51,222,35,4810,583413
411458,49,221,32,4810,583430
411449,51,212,32,4810,583446
411445,48,208,31,4810,583458
411437,47,203,28,4810,583475
411431,43,204,27,4811,583484
411427,42,197,26,4811,583497
411422,42,192,26,4811,583507
411412,45,184,25,4811,583523
411408,42,182,25,4811,583532
411402,37,180,26,4811,583544
411393,42,173,24,4811,583557
411388,39,169,24,4811,583569
411379,44,161,24,4811,583581
411373,41,159,21,4811,583595
411368,36,159,18,4811,583608
411364,37,152,17,4811,583619
411361,36,144,15,4811,583633
411355,34,145,18,4811,583637
411349,37,133,18,4811,583652
411342,38,135,18,4811,583656
411335,41,126,19,4811,583668
411331,40,124,19,4811,583675
411320,44,123,22,4811,583680
411311,45,123,21,4811,583689
411302,47,125,20,4811,583695
411300,41,124,22,4811,583702
411297,37,120,23,4811,583712
411290,42,115,24,4811,583718
411284,40,118,22,4811,583725
411279,37,118,21,4811,583734
411271,35,119,22,4811,583742
411268,31,117,23,4811,583750
411261,32,117,25,4811,583754
411255,33,117,24,4811,583760
411245,37,114,25,4812,583767
411239,38,106,25,4812,583780
411234,40,107,21,4812,583786
411228,43,100,22,4812,583795
411223,40,104,22,4812,583799
411214,42,106,23,4812,583803
411210,38,109,22,4812,583809
411203,35,114,19,4812,583817
411200,32,110,20,4813,583825
411193,35,110,15,4813,583834
411187,35,111,14,4813,583840
411186,30,113,13,4813,583845
411184,28,109,14,4813,583852
411181,30,106,11,4813,583859
411173,32,103,13,4813,583866
411169,28,108,13,4813,583869
411167,27,105,13,4813,583875
411162,26,101,15,4813,583883
411160,24,101,16,4813,583886
411153,27,100,16,4813,583891
411149,25,99,17,4813,583897
411147,19,99,16,4813,583906
411142,21,101,14,4813,583909
411135,26,97,14,4813,583915
411129,27,94,13,4813,583924
411125,28,93,11,4813,583930
411120,25,91,14,4814,583936
411118,22,92,14,4814,583940
411113,23,94,12,4814,583944
411110,19,95,16,4814,583946
411107,21,87,14,4814,583957
411105,19,86,15,4814,583961
411101,19,85,15,4814,583966
411100,17,84,13,4814,583972
411099,16,82,13,4814,583976
411093,19,79,13,4814,583982
411090,21,79,11,4814,583985
411086,17,80,13,4814,583990
411085,17,76,11,4814,583997
411081,20,71,9,4814,584005
411080,14,73,9,4814,584010
411078,14,73,9,4814,584012
411076,12,72,9,4814,584017
411071,18,68,7,4814,584022
411069,19,65,5,4814,584028
411068,19,64,5,4814,584030
411065,19,62,6,4814,584034
411065,18,58,6,4814,584039
411062,16,55,8,4814,584045
411062,12,54,9,4814,584049
411058,14,52,7,4814,584055
411056,11,54,7,4814,584058
411054,11,52,8,4814,584061
411051,10,50,8,4814,584067
411050,7,54,8,4814,584067
411046,11,53,8,4814,584068
411044,13,49,8,4814,584072
411040,16,48,6,4814,584076
411036,18,45,5,4814,584082
411034,16,45,7,4814,584084
411033,12,44,9,4814,584088
411028,15,44,10,4814,584089
411027,14,45,9,4814,584091
411024,15,42,9,4814,584096
411024,12,42,8,4814,584100
411021,11,43,9,4814,584102
411021,10,42,7,4814,584106
411017,13,43,7,4814,584106
411014,14,43,6,4814,584109
411013,15,42,5,4814,584111
411012,14,43,5,4814,584112
411012,14,38,3,4814,584119
411010,14,39,3,4814,584120
411010,12,39,4,4814,584121
411010,10,39,3,4814,584124
411010,6,42,4,4814,584124
411008,7,42,4,4814,584125
411007,7,41,4,4814,584127
411007,5,42,3,4814,584129
411007,3,41,4,4814,584131
411003,7,38,4,4814,584134
411003,6,35,4,4814,584138
411002,7,35,4,4814,584138
411002,5,36,3,4814,584140
411001,6,33,3,4814,584143
410998,9,33,3,4814,584143
410998,9,30,2,4814,584147
410998,7,29,3,4814,584149
410997,6,28,2,4814,584153
410997,5,28,2,4814,584154
410997,3,28,2,4814,584156
410998,3,25,1,4814,584159
410998,3,22,1,4814,584162
410997,3,22,1,4814,584163
410997,2,23,1,4814,584163
410997,1,24,1,4814,584163
410997,1,24,0,4814,584164
410997,1,23,0,4814,584165
410997,0,23,0,4814,584166
410997,0,22,0,4814,584167
410997,0,20,0,4814,584169
410997,0,17,0,4814,584172
410997,0,15,0,4814,584174
410997,0,14,0,4814,584175
410997,0,14,0,4814,584175
410997,0,13,0,4814,584176
410996,1,11,0,4814,584178
410996,1,10,0,4814,584179
410996,1,9,0,4814,584180
410996,1,8,0,4814,584181
410996,1,7,0,4814,584182
410996,1,6,0,4814,584183
410996,1,6,0,4814,584183
410996,1,5,0,4814,584184
410996,1,5,0,4814,584184
410996,0,6,0,4814,584184
410996,0,6,0,4814,584184
410996,0,5,0,4814,584185
410996,0,5,0,4814,584185
410996,0,5,0,4814,584185
410996,0,5,0,4814,584185
410995,1,5,0,4814,584185
